hanja,hangul,source
圧,압,xetexko-hanja_hangul.tab
誇,과,xetexko-hanja_hangul.tab
粒,입,xetexko-hanja_hangul.tab
争,쟁,xetexko-hanja_hangul.tab
径,경,xetexko-hanja_hangul.tab
核,핵,xetexko-hanja_hangul.tab
昇,승,xetexko-hanja_hangul.tab
施,시,xetexko-hanja_hangul.tab
揮,휘,xetexko-hanja_hangul.tab
官,관,xetexko-hanja_hangul.tab
佐,좌,xetexko-hanja_hangul.tab
肩,견,xetexko-hanja_hangul.tab
徴,징,xetexko-hanja_hangul.tab
豊,풍,xetexko-hanja_hangul.tab
富,부,xetexko-hanja_hangul.tab
威,위,xetexko-hanja_hangul.tab
秀,수,xetexko-hanja_hangul.tab
候,후,xetexko-hanja_hangul.tab
補,보,xetexko-hanja_hangul.tab
侵,침,xetexko-hanja_hangul.tab
狭,협,xetexko-hanja_hangul.tab
頼,뢰,xetexko-hanja_hangul.tab
術,술,xetexko-hanja_hangul.tab
推,추,xetexko-hanja_hangul.tab
減,감,xetexko-hanja_hangul.tab
功,공,xetexko-hanja_hangul.tab
偵,정,xetexko-hanja_hangul.tab
察,찰,xetexko-hanja_hangul.tab
密,밀,xetexko-hanja_hangul.tab
匹,필,xetexko-hanja_hangul.tab
壊,괴,xetexko-hanja_hangul.tab
排,배,xetexko-hanja_hangul.tab
完,완,xetexko-hanja_hangul.tab
技,기,xetexko-hanja_hangul.tab
造,조,xetexko-hanja_hangul.tab
単,단,xetexko-hanja_hangul.tab
独,독,xetexko-hanja_hangul.tab
比,비,xetexko-hanja_hangul.tab
誕,탄,xetexko-hanja_hangul.tab
尉,위,xetexko-hanja_hangul.tab
差,차,xetexko-hanja_hangul.tab
汎,범,xetexko-hanja_hangul.tab
縦,종,xetexko-hanja_hangul.tab
展,전,xetexko-hanja_hangul.tab
巡,순,xetexko-hanja_hangul.tab
航,항,xetexko-hanja_hangul.tab
鋭,예,xetexko-hanja_hangul.tab
邦,방,xetexko-hanja_hangul.tab
参,참,xetexko-hanja_hangul.tab
驚,경,xetexko-hanja_hangul.tab
異,이,xetexko-hanja_hangul.tab
呼,호,xetexko-hanja_hangul.tab
段,단,xetexko-hanja_hangul.tab
背,배,xetexko-hanja_hangul.tab
激,격,xetexko-hanja_hangul.tab
腕,완,xetexko-hanja_hangul.tab
兼,겸,xetexko-hanja_hangul.tab
脱,탈,xetexko-hanja_hangul.tab
素,소,xetexko-hanja_hangul.tab
瞬,순,xetexko-hanja_hangul.tab
置,치,xetexko-hanja_hangul.tab
熱,열,xetexko-hanja_hangul.tab
並,병,xetexko-hanja_hangul.tab
拡,확,xetexko-hanja_hangul.tab
散,산,xetexko-hanja_hangul.tab
収,수,xetexko-hanja_hangul.tab
納,납,xetexko-hanja_hangul.tab
彩,채,xetexko-hanja_hangul.tab
軌,궤,xetexko-hanja_hangul.tab
極,극,xetexko-hanja_hangul.tab
複,복,xetexko-hanja_hangul.tab
遅,지,xetexko-hanja_hangul.tab
法,법,xetexko-hanja_hangul.tab
隔,격,xetexko-hanja_hangul.tab
違,위,xetexko-hanja_hangul.tab
増,증,xetexko-hanja_hangul.tab
純,순,xetexko-hanja_hangul.tab
粋,수,xetexko-hanja_hangul.tab
継,계,xetexko-hanja_hangul.tab
障,장,xetexko-hanja_hangul.tab
壁,벽,xetexko-hanja_hangul.tab
久,구,xetexko-hanja_hangul.tab
過,과,xetexko-hanja_hangul.tab
約,약,xetexko-hanja_hangul.tab
総,총,xetexko-hanja_hangul.tab
師,사,xetexko-hanja_hangul.tab
超,초,xetexko-hanja_hangul.tab
至,지,xetexko-hanja_hangul.tab
換,환,xetexko-hanja_hangul.tab
為,위,xetexko-hanja_hangul.tab
属,속,xetexko-hanja_hangul.tab
束,속,xetexko-hanja_hangul.tab
盗,도,xetexko-hanja_hangul.tab
秘,비,xetexko-hanja_hangul.tab
搬,반,xetexko-hanja_hangul.tab
位,위,xetexko-hanja_hangul.tab
沈,침,xetexko-hanja_hangul.tab
腰,요,xetexko-hanja_hangul.tab
透,투,xetexko-hanja_hangul.tab
環,환,xetexko-hanja_hangul.tab
境,경,xetexko-hanja_hangul.tab
崩,붕,xetexko-hanja_hangul.tab
権,권,xetexko-hanja_hangul.tab
枚,매,xetexko-hanja_hangul.tab
蔵,장,xetexko-hanja_hangul.tab
寄,기,xetexko-hanja_hangul.tab
誘,유,xetexko-hanja_hangul.tab
鎌,겸,xetexko-hanja_hangul.tab
懐,회,xetexko-hanja_hangul.tab
砕,쇄,xetexko-hanja_hangul.tab
捕,포,xetexko-hanja_hangul.tab
与,여,xetexko-hanja_hangul.tab
垂,수,xetexko-hanja_hangul.tab
難,난,xetexko-hanja_hangul.tab
頻,빈,xetexko-hanja_hangul.tab
類,유,xetexko-hanja_hangul.tab
獣,수,xetexko-hanja_hangul.tab
包,포,xetexko-hanja_hangul.tab
証,정,xetexko-hanja_hangul.tab
扮,분,xetexko-hanja_hangul.tab
伝,전,xetexko-hanja_hangul.tab
民,민,xetexko-hanja_hangul.tab
将,장,xetexko-hanja_hangul.tab
駄,태,xetexko-hanja_hangul.tab
固,고,xetexko-hanja_hangul.tab
遙,요,xetexko-hanja_hangul.tab
彼,피,xetexko-hanja_hangul.tab
救,구,xetexko-hanja_hangul.tab
勇,용,xetexko-hanja_hangul.tab
魔,마,xetexko-hanja_hangul.tab
騎,기,xetexko-hanja_hangul.tab
剣,검,xetexko-hanja_hangul.tab
伸,신,xetexko-hanja_hangul.tab
縮,축,xetexko-hanja_hangul.tab
共,공,xetexko-hanja_hangul.tab
溜,유,xetexko-hanja_hangul.tab
逆,역,xetexko-hanja_hangul.tab
議,의,xetexko-hanja_hangul.tab
略,약,xetexko-hanja_hangul.tab
揚,양,xetexko-hanja_hangul.tab
提,제,xetexko-hanja_hangul.tab
璧,벽,xetexko-hanja_hangul.tab
盾,순,xetexko-hanja_hangul.tab
居,거,xetexko-hanja_hangul.tab
旗,기,xetexko-hanja_hangul.tab
劣,열,xetexko-hanja_hangul.tab
謎,미,xetexko-hanja_hangul.tab
項,항,xetexko-hanja_hangul.tab
条,조,xetexko-hanja_hangul.tab
件,건,xetexko-hanja_hangul.tab
復,복,xetexko-hanja_hangul.tab
順,순,xetexko-hanja_hangul.tab
系,계,xetexko-hanja_hangul.tab
続,속,xetexko-hanja_hangul.tab
到,도,xetexko-hanja_hangul.tab
率,솔,xetexko-hanja_hangul.tab
払,불,xetexko-hanja_hangul.tab
携,휴,xetexko-hanja_hangul.tab
適,적,xetexko-hanja_hangul.tab
像,상,xetexko-hanja_hangul.tab
尾,미,xetexko-hanja_hangul.tab
貫,관,xetexko-hanja_hangul.tab
頂,정,xetexko-hanja_hangul.tab
俺,엄,xetexko-hanja_hangul.tab
城,성,xetexko-hanja_hangul.tab
銃,총,xetexko-hanja_hangul.tab
筒,통,xetexko-hanja_hangul.tab
旋,선,xetexko-hanja_hangul.tab
輪,윤,xetexko-hanja_hangul.tab
斬,참,xetexko-hanja_hangul.tab
唐,당,xetexko-hanja_hangul.tab
割,할,xetexko-hanja_hangul.tab
串,곶,xetexko-hanja_hangul.tab
刺,자,xetexko-hanja_hangul.tab
炎,염,xetexko-hanja_hangul.tab
称,칭,xetexko-hanja_hangul.tab
没,몰,xetexko-hanja_hangul.tab
貯,저,xetexko-hanja_hangul.tab
蓄,축,xetexko-hanja_hangul.tab
疑,의,xetexko-hanja_hangul.tab
似,사,xetexko-hanja_hangul.tab
浅,천,xetexko-hanja_hangul.tab
瀬,뢰,xetexko-hanja_hangul.tab
別,별,xetexko-hanja_hangul.tab
摩,마,xetexko-hanja_hangul.tab
擦,찰,xetexko-hanja_hangul.tab
覚,각,xetexko-hanja_hangul.tab
険,험,xetexko-hanja_hangul.tab
害,해,xetexko-hanja_hangul.tab
吹,취,xetexko-hanja_hangul.tab
痛,통,xetexko-hanja_hangul.tab
郊,교,xetexko-hanja_hangul.tab
邪,사,xetexko-hanja_hangul.tab
静,정,xetexko-hanja_hangul.tab
沖,충,xetexko-hanja_hangul.tab
退,퇴,xetexko-hanja_hangul.tab
治,치,xetexko-hanja_hangul.tab
舞,무,xetexko-hanja_hangul.tab
宝,보,xetexko-hanja_hangul.tab
歳,세,xetexko-hanja_hangul.tab
許,허,xetexko-hanja_hangul.tab
景,경,xetexko-hanja_hangul.tab
資,자,xetexko-hanja_hangul.tab
撮,촬,xetexko-hanja_hangul.tab
鉱,광,xetexko-hanja_hangul.tab
浮,부,xetexko-hanja_hangul.tab
混,혼,xetexko-hanja_hangul.tab
嵐,남,xetexko-hanja_hangul.tab
盆,분,xetexko-hanja_hangul.tab
渡,도,xetexko-hanja_hangul.tab
渓,부,xetexko-hanja_hangul.tab
布,포,xetexko-hanja_hangul.tab
統,통,xetexko-hanja_hangul.tab
香,향,xetexko-hanja_hangul.tab
焦,초,xetexko-hanja_hangul.tab
末,말,xetexko-hanja_hangul.tab
竜,룡,xetexko-hanja_hangul.tab
叩,고,xetexko-hanja_hangul.tab
夢,몽,xetexko-hanja_hangul.tab
鷹,응,xetexko-hanja_hangul.tab
屑,설,xetexko-hanja_hangul.tab
逃,도,xetexko-hanja_hangul.tab
曹,조,xetexko-hanja_hangul.tab
令,영,xetexko-hanja_hangul.tab
隻,척,xetexko-hanja_hangul.tab
娘,낭,xetexko-hanja_hangul.tab
訓,훈,xetexko-hanja_hangul.tab
鹿,녹,xetexko-hanja_hangul.tab
栄,영,xetexko-hanja_hangul.tab
私,사,xetexko-hanja_hangul.tab
充,충,xetexko-hanja_hangul.tab
鈍,둔,xetexko-hanja_hangul.tab
掛,괘,xetexko-hanja_hangul.tab
留,유,xetexko-hanja_hangul.tab
際,제,xetexko-hanja_hangul.tab
便,변,xetexko-hanja_hangul.tab
僕,복,xetexko-hanja_hangul.tab
志,지,xetexko-hanja_hangul.tab
肌,기,xetexko-hanja_hangul.tab
触,촉,xetexko-hanja_hangul.tab
駆,구,xetexko-hanja_hangul.tab
任,임,xetexko-hanja_hangul.tab
務,무,xetexko-hanja_hangul.tab
還,환,xetexko-hanja_hangul.tab
従,종,xetexko-hanja_hangul.tab
箇,개,xetexko-hanja_hangul.tab
挑,도,xetexko-hanja_hangul.tab
隣,인,xetexko-hanja_hangul.tab
仮,가,xetexko-hanja_hangul.tab
挟,협,xetexko-hanja_hangul.tab
忘,망,xetexko-hanja_hangul.tab
棺,관,xetexko-hanja_hangul.tab
桶,통,xetexko-hanja_hangul.tab
扱,급,xetexko-hanja_hangul.tab
損,손,xetexko-hanja_hangul.tab
抑,억,xetexko-hanja_hangul.tab
嫌,혐,xetexko-hanja_hangul.tab
我,아,xetexko-hanja_hangul.tab
故,고,xetexko-hanja_hangul.tab
獲,획,xetexko-hanja_hangul.tab
慎,신,xetexko-hanja_hangul.tab
念,염,xetexko-hanja_hangul.tab
因,인,xetexko-hanja_hangul.tab
闇,암,xetexko-hanja_hangul.tab
裂,열,xetexko-hanja_hangul.tab
借,차,xetexko-hanja_hangul.tab
輸,수,xetexko-hanja_hangul.tab
響,향,xetexko-hanja_hangul.tab
傷,상,xetexko-hanja_hangul.tab
