hanja,hangul,source
週,주,xetexko-hanja_hangul.tab
春,춘,xetexko-hanja_hangul.tab
書,서,xetexko-hanja_hangul.tab
少,소,xetexko-hanja_hangul.tab
場,장,xetexko-hanja_hangul.tab
色,색,xetexko-hanja_hangul.tab
食,식,xetexko-hanja_hangul.tab
心,심,xetexko-hanja_hangul.tab
新,신,xetexko-hanja_hangul.tab
親,친,xetexko-hanja_hangul.tab
図,도,xetexko-hanja_hangul.tab
数,수,xetexko-hanja_hangul.tab
西,서,xetexko-hanja_hangul.tab
声,성,xetexko-hanja_hangul.tab
星,성,xetexko-hanja_hangul.tab
晴,청,xetexko-hanja_hangul.tab
切,절,xetexko-hanja_hangul.tab
雪,설,xetexko-hanja_hangul.tab
船,선,xetexko-hanja_hangul.tab
線,선,xetexko-hanja_hangul.tab
前,전,xetexko-hanja_hangul.tab
組,조,xetexko-hanja_hangul.tab
走,주,xetexko-hanja_hangul.tab
多,다,xetexko-hanja_hangul.tab
太,태,xetexko-hanja_hangul.tab
体,체,xetexko-hanja_hangul.tab
台,태,xetexko-hanja_hangul.tab
地,지,xetexko-hanja_hangul.tab
池,지,xetexko-hanja_hangul.tab
知,지,xetexko-hanja_hangul.tab
茶,다,xetexko-hanja_hangul.tab
昼,주,xetexko-hanja_hangul.tab
長,장,xetexko-hanja_hangul.tab
鳥,조,xetexko-hanja_hangul.tab
朝,조,xetexko-hanja_hangul.tab
直,직,xetexko-hanja_hangul.tab
通,통,xetexko-hanja_hangul.tab
弟,제,xetexko-hanja_hangul.tab
店,점,xetexko-hanja_hangul.tab
点,점,xetexko-hanja_hangul.tab
電,전,xetexko-hanja_hangul.tab
刀,도,xetexko-hanja_hangul.tab
冬,동,xetexko-hanja_hangul.tab
当,당,xetexko-hanja_hangul.tab
東,동,xetexko-hanja_hangul.tab
答,답,xetexko-hanja_hangul.tab
頭,두,xetexko-hanja_hangul.tab
同,동,xetexko-hanja_hangul.tab
道,도,xetexko-hanja_hangul.tab
読,독,xetexko-hanja_hangul.tab
内,내,xetexko-hanja_hangul.tab
南,남,xetexko-hanja_hangul.tab
肉,육,xetexko-hanja_hangul.tab
馬,마,xetexko-hanja_hangul.tab
売,매,xetexko-hanja_hangul.tab
買,매,xetexko-hanja_hangul.tab
麦,맥,xetexko-hanja_hangul.tab
半,반,xetexko-hanja_hangul.tab
番,번,xetexko-hanja_hangul.tab
父,부,xetexko-hanja_hangul.tab
風,풍,xetexko-hanja_hangul.tab
分,분,xetexko-hanja_hangul.tab
聞,문,xetexko-hanja_hangul.tab
米,미,xetexko-hanja_hangul.tab
歩,보,xetexko-hanja_hangul.tab
母,모,xetexko-hanja_hangul.tab
方,방,xetexko-hanja_hangul.tab
北,북,xetexko-hanja_hangul.tab
毎,매,xetexko-hanja_hangul.tab
妹,매,xetexko-hanja_hangul.tab
万,만,xetexko-hanja_hangul.tab
明,명,xetexko-hanja_hangul.tab
鳴,명,xetexko-hanja_hangul.tab
毛,모,xetexko-hanja_hangul.tab
門,문,xetexko-hanja_hangul.tab
夜,야,xetexko-hanja_hangul.tab
野,야,xetexko-hanja_hangul.tab
友,우,xetexko-hanja_hangul.tab
用,용,xetexko-hanja_hangul.tab
曜,요,xetexko-hanja_hangul.tab
来,래,xetexko-hanja_hangul.tab
里,이,xetexko-hanja_hangul.tab
理,이,xetexko-hanja_hangul.tab
話,화,xetexko-hanja_hangul.tab
悪,악,xetexko-hanja_hangul.tab
安,안,xetexko-hanja_hangul.tab
暗,암,xetexko-hanja_hangul.tab
医,의,xetexko-hanja_hangul.tab
委,위,xetexko-hanja_hangul.tab
意,의,xetexko-hanja_hangul.tab
育,육,xetexko-hanja_hangul.tab
員,원,xetexko-hanja_hangul.tab
院,원,xetexko-hanja_hangul.tab
飲,음,xetexko-hanja_hangul.tab
運,운,xetexko-hanja_hangul.tab
泳,영,xetexko-hanja_hangul.tab
駅,역,xetexko-hanja_hangul.tab
央,앙,xetexko-hanja_hangul.tab
横,횡,xetexko-hanja_hangul.tab
屋,옥,xetexko-hanja_hangul.tab
温,온,xetexko-hanja_hangul.tab
化,화,xetexko-hanja_hangul.tab
荷,하,xetexko-hanja_hangul.tab
界,계,xetexko-hanja_hangul.tab
開,개,xetexko-hanja_hangul.tab
階,계,xetexko-hanja_hangul.tab
寒,한,xetexko-hanja_hangul.tab
